"tanggal","jumlah"
"9/14/2020","1831374"
"9/15/2020","1584387"
"9/16/2020","2239820"
"9/17/2020","1600000"
"9/18/2020","1678288"
"9/19/2020","1881791"
"9/20/2020","2159780"
"9/21/2020","1401155"
"9/22/2020","940976"
"9/23/2020","1619535"
"9/24/2020","914848"
"9/25/2020","1831921"
"9/26/2020","1947079"
"9/27/2020","2218237"
"9/28/2020","1136196"
"9/29/2020","2223937"
"9/30/2020","1542443"
"10/1/2020","2500000"
"10/2/2020","2694269"
"10/3/2020","1679368"
"10/4/2020","2499452"
"10/5/2020","2000000"
"10/6/2020","1925623"
"10/7/2020","1721006"
"10/8/2020","2084037"
"10/9/2020","1750000"
"10/10/2020","1739603"
"10/11/2020","2175355"
"10/12/2020","1661938"
"10/13/2020","2196218"
"10/14/2020","2196218"
"10/15/2020","6023613"
"10/16/2020","2060208"
"10/17/2020","1515848"
"10/18/2020","1736146"
"10/19/2020","2000000"
"10/20/2020","1824670"
"10/21/2020","2339103"
"10/22/2020","2049929"
"10/23/2020","2000000"
"10/24/2020","2017109"
"10/25/2020","1800000"
"10/26/2020","1723231"
"10/27/2020","2794901"
"10/28/2020","2794901"
"10/29/2020","1500000"
"10/30/2020","1347766"
"10/31/2020","1743085"
"11/1/2020","1300000"
"11/2/2020","1226845"
"11/3/2020","1487368"
"11/4/2020","2004803"
"11/5/2020","2064084"
"11/6/2020","2642798"
"11/7/2020","1600000"
"11/8/2020","1695904"
"11/9/2020","1786170"
"11/10/2020","1786170"
"11/11/2020","1848014"
"11/12/2020","2095444"
"11/13/2020","1963333"
"11/14/2020","1543084"
"11/15/2020","1619473"
"11/16/2020","1650000"
"11/17/2020","1678509"
"11/18/2020","1384646"
"11/19/2020","1470324"
"11/20/2020","1660798"
"11/21/2020","1717577"
"11/22/2020","1412981"
"11/23/2020","1600375"
"11/24/2020","1823572"
"11/25/2020","1565957"
"11/26/2020","1678106"
"11/27/2020","1542766"
"11/28/2020","1398920"
"11/29/2020","1283449"
"11/30/2020","1607252"
"12/1/2020","2098437"
"12/2/2020","4555924"
"12/3/2020","2671290"
"12/4/2020","3962067"
"12/5/2020","2471001"
"12/6/2020","2068939"
"12/7/2020","2439252"
"12/8/2020","2205631"
"12/9/2020","1959936"
"12/10/2020","7311606"
"12/11/2020","2154571"
"12/12/2020","3020684"
"12/13/2020","1700000"
"12/14/2020","1628992"
"12/15/2020","2000000"
"12/16/2020","1977179"
"12/17/2020","3538771"
"12/18/2020","2542449"
"12/19/2020","1598610"
"12/20/2020","1989164"
"12/21/2020","1364863"
"12/22/2020","1693103"
"12/23/2020","1400000"
"12/24/2020","1542472"
"12/25/2020","2332480"
"12/26/2020","1337775"
"12/27/2020","3101522"
"12/28/2020","1412321"
"12/29/2020","1837488"
"12/30/2020","983643"
"12/31/2020","1095860"
"1/1/2021","1452010"
"1/2/2021","1244430"
"1/3/2021","862019"
"1/4/2021","1726430"
"1/5/2021","1752371"
"1/6/2021","4521562"
"1/7/2021","2276919"
"1/8/2021","2398648"
"1/9/2021","1713852"
"1/10/2021","2034906"
"1/11/2021","2100536"
"1/12/2021","1911530"
"1/13/2021","2654967"
"1/14/2021","1970054"
"1/15/2021","1640588"
"1/16/2021","1142178"
"1/17/2021","1158270"
"1/18/2021","1765840"
"1/19/2021","1894153"
"1/20/2021","2102005"
"1/21/2021","2437596"
"1/22/2021","2137184"
"1/23/2021","2911802"
"1/24/2021","1737755"
"1/25/2021","1866381"
"1/26/2021","1985798"
"1/27/2021","1569479"
"1/28/2021","1163889"
"1/29/2021","2084834"
"1/30/2021","1175996"
"1/31/2021","1922224"
"2/1/2021","1642509"
"2/2/2021","1730277"
"2/3/2021","1833630"
"2/4/2021","2675154"
"2/5/2021","2010155"
"2/6/2021","1419941"
"2/7/2021","1525557"
"2/8/2021","1758366"
"2/9/2021","1484183"
"2/10/2021","1378017"
"2/11/2021","1579445"
"2/12/2021","1411500"
"2/13/2021","1236260"
"2/14/2021","1191303"
